date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:00:02	16066/16066	---M-Z	200	added ('OK')	text/html	etag:%222168137-3ec2-55ba38405f921-gzip%22	http://www.dodladairy.com/tumkur.html	C:/ball%20baba/doodla/www.dodladairy.com/tumkur.html	(from http://www.dodladairy.com/)
00:00:03	16293/16293	---M-Z	200	added ('OK')	text/html	etag:%22216127e-3fa5-55ba384246649-gzip%22	http://www.dodladairy.com/tanuku.html	C:/ball%20baba/doodla/www.dodladairy.com/tanuku.html	(from http://www.dodladairy.com/)
00:00:03	19250/19250	---M-Z	200	added ('OK')	text/html	etag:%2221873f0-4b32-55ba386881604-gzip%22	http://www.dodladairy.com/dharmapuri.html	C:/ball%20baba/doodla/www.dodladairy.com/dharmapuri.html	(from http://www.dodladairy.com/)
00:00:04	18048/18048	---M-Z	200	added ('OK')	text/html	etag:%22217f60b-4680-55ba38601af59-gzip%22	http://www.dodladairy.com/hyderabad.html	C:/ball%20baba/doodla/www.dodladairy.com/hyderabad.html	(from http://www.dodladairy.com/)
00:00:05	20960/20960	---M-Z	200	added ('OK')	text/html	etag:%222162007-51e0-55ba386244ad5-gzip%22	http://www.dodladairy.com/financials.html	C:/ball%20baba/doodla/www.dodladairy.com/financials.html	(from http://www.dodladairy.com/)
00:00:05	11437/11437	---M-Z	200	added ('OK')	text/html	etag:%22216811b-2cad-55ba385206e98-gzip%22	http://www.dodladairy.com/overseas.html	C:/ball%20baba/doodla/www.dodladairy.com/overseas.html	(from http://www.dodladairy.com/)
00:00:06	17697/17697	---M-Z	200	added ('OK')	text/html	etag:%222168124-4521-55ba3874e9700-gzip%22	http://www.dodladairy.com/career.html	C:/ball%20baba/doodla/www.dodladairy.com/career.html	(from http://www.dodladairy.com/)
00:00:06	16292/16292	---M-Z	200	added ('OK')	text/html	etag:%22216587b-3fa4-55ba386e7e5a7-gzip%22	http://www.dodladairy.com/contact.html	C:/ball%20baba/doodla/www.dodladairy.com/contact.html	(from http://www.dodladairy.com/)
00:00:07	27680/27680	---M-Z	200	added ('OK')	text/html	etag:%222161265-6c20-55ba38464c6f4-gzip%22	http://www.dodladairy.com/salesoffice.html	C:/ball%20baba/doodla/www.dodladairy.com/salesoffice.html	(from http://www.dodladairy.com/)
00:00:07	21338/21338	---M-Z	200	added ('OK')	text/html	etag:%2221611b3-535a-55ba385023050-gzip%22	http://www.dodladairy.com/packingstations.html	C:/ball%20baba/doodla/www.dodladairy.com/packingstations.html	(from http://www.dodladairy.com/)
